Molecule Name,CDD Number,Subseries,Largest_Vector,MSData - Proteomics activities: Molecule-Batch ID,MSData - Proteomics activities: Source,MSData - Proteomics activities: Ligase,MSData - Proteomics activities: Cell line,MSData - Proteomics activities: Sample Condition,MSData - Proteomics activities: Incubation time (h),MSData - Proteomics activities: Concentration (uM),MSData - Proteomics activities: MSPlate,MSData - Proteomics activities: Screen,MSData - Proteomics activities: Nr. Down,MSData - Proteomics activities: Cmpd Activity,MSData - Proteomics activities: Genes Down,MSData - Proteomics activities: Date
SRB-0012849,,AJ,v2,,,,,,,,,,,,,
SRB-0012848,,AJ,v2,,,,,,,,,,,,,
SRB-0012847,,AJ,v2,,,,,,,,,,,,,
SRB-0012842,,AJ,v2,,,,,,,,,,,,,
SRB-0012783,,AJ,v2,,,,,,,,,,,,,
SRB-0012782,,AJ,v2,,,,,,,,,,,,,
SRB-0012781,,AJ,v2,,,,,,,,,,,,,
SRB-0012780,,AJ,v2,,,,,,,,,,,,,
SRB-0012779,,AJ,v2,,,,,,,,,,,,,
SRB-0012778,,AJ,v2,,,,,,,,,,,,,
SRB-0012777,,AJ,v2,,,,,,,,,,,,,
SRB-0012776,,AJ,v2,,,,,,,,,,,,,
SRB-0012775,,AJ,v2,,,,,,,,,,,,,
SRB-0012774,,AJ,v2,,,,,,,,,,,,,
SRB-0012773,,AJ,v2,,,,,,,,,,,,,
SRB-0012772,,AJ,v2,,,,,,,,,,,,,
SRB-0012771,,AJ,v2,,,,,,,,,,,,,
SRB-0012770,,AJ,v2,,,,,,,,,,,,,
SRB-0012769,,AJ,v2,,,,,,,,,,,,,
SRB-0012768,,AJ,v2,,,,,,,,,,,,,
SRB-0012767,,AJ,v2,,,,,,,,,,,,,
SRB-0012766,,AJ,v2,,,,,,,,,,,,,
SRB-0012765,,AJ,v2,,,,,,,,,,,,,
SRB-0012764,,AJ,v2,,,,,,,,,,,,,
SRB-0012763,,AJ,v2,,,,,,,,,,,,,
SRB-0012762,,AJ,v2,,,,,,,,,,,,,
SRB-0012761,,AJ,v2,,,,,,,,,,,,,
SRB-0012760,,AJ,v2,,,,,,,,,,,,,
SRB-0012759,,AJ,v2,,,,,,,,,,,,,
SRB-0012758,,AJ,v2,,,,,,,,,,,,,
SRB-0012757,,AJ,v2,,,,,,,,,,,,,
SRB-0012756,,AJ,v2,,,,,,,,,,,,,
SRB-0012755,,AJ,v2,,,,,,,,,,,,,
SRB-0012754,,AJ,v2,,,,,,,,,,,,,
SRB-0012753,,AJ,v2,,,,,,,,,,,,,
SRB-0012752,,AJ,v2,,,,,,,,,,,,,
SRB-0012751,,AJ,v2,,,,,,,,,,,,,
SRB-0012750,,AJ,v2,,,,,,,,,,,,,
SRB-0012749,,AJ,v2,,,,,,,,,,,,,
SRB-0012748,,AJ,v2,,,,,,,,,,,,,
SRB-0012747,,AJ,v2,,,,,,,,,,,,,
SRB-0012746,,AJ,v2,,,,,,,,,,,,,
SRB-0012745,,AJ,v2,,,,,,,,,,,,,
SRB-0012744,,AJ,v2,,,,,,,,,,,,,
SRB-0012743,,AJ,v2,,,,,,,,,,,,,
SRB-0012742,,AJ,v2,,,,,,,,,,,,,
SRB-0012741,,AJ,v2,,,,,,,,,,,,,
SRB-0012740,,AJ,v2,,,,,,,,,,,,,
