Batch Molecule-Batch ID,genes,Plate,Activity
SRB-0000731-001,PEG10,Pw87,Low (2-10)
SRB-0001041-001,MAP3K5,Plate48_Pw4,Low (2-10)
SRB-0001075-001,ALDH1A3; IL4R,Plate77_Pw12,Low (2-10)
SRB-0001847-001,FOSL1,Pw33,Low (2-10)
SRB-0002048-001,ALDH1A3,Plate5,Low (2-10)
SRB-0002118-001,TGFB1,Pw87,Low (2-10)
SRB-0002342,FOSL1,Pw105VMKO,Low (2-10)
SRB-0002717-001,ANGPTL4,Plate41,Low (2-10)
SRB-0003302-001,CD74,Pw98,Low (2-10)
SRB-0003310-001,PEG10,Pw97,Low (2-10)
SRB-0003529-001,IL4R,Plate63_Pw9,Low (2-10)
SRB-0003723,PEG10,Pw101,Low (2-10)
SRB-0003870-001,FOSL1,Pw99,Low (2-10)
SRB-0003909-001,PNPLA3,Plate48_Pw4,Low (2-10)
SRB-0003910-001,MAP3K5; PNPLA3,Plate48_Pw4,Low (2-10)
SRB-0003911-001,MAP3K5,Plate48_Pw4,Low (2-10)
SRB-0003951-001,BRD2,Pw39,Low (2-10)
SRB-0005505-001,FOSL1,Pw79,Low (2-10)
SRB-0005514,ARG1,Pw82WT,Low (2-10)
SRB-0005593-001,FOSL1,Pw71,Low (2-10)
SRB-0005601-001,FOSL1,Pw71,Low (2-10)
SRB-0005627-001,FOSL1,Pw70,Low (2-10)
SRB-0005630-001,FOSL1,Pw70,Low (2-10)
SRB-0005635-001,FOSL1,Pw70,Low (2-10)
SRB-0005647-001,FOSL1,Pw70,Low (2-10)
SRB-0005689-001,FOSL1,Pw68,Low (2-10)
SRB-0005696-001,PCSK9,Pw68,Low (2-10)
SRB-0005790-001,TTK,Pw65,Low (2-10)
SRB-0005822,MAP4K4,Pw82WT,Low (2-10)
SRB-0005932-001,EPHB4,Pw51,Low (2-10)
SRB-0005955-001,TGFB1,Pw50,Low (2-10)
SRB-0005976,MAP4K4,Pw81BCDEKO,Low (2-10)
SRB-0006007,MAPK14,Pw82WT,Low (2-10)
SRB-0006048-001,TGFB1,Pw86,Single (1)
SRB-0006278,MAP4K4,Pw81BCDEKO,Low (2-10)
SRB-0007351-001,MAP4K4,Pw98,Low (2-10)
SRB-0007570-001,TGFB1,Pw84,Single (1)
SRB-0007870,TGFB1,Pw102,Low (2-10)
SRB-0008042,ANGPTL4,Pw109,Single (1)
SRB-0008472,MAP4K4,Pw105VMWT,Low (2-10)
SRB-0008554,CD74,Pw109,Low (2-10)
SRB-0009121-001,FOSL1,Pw95,Low (2-10)
SRB-0009625,MAP4K4,Pw101,Low (2-10)
SRB-0009661,MAPK14; TTK,Pw104,Low (2-10)
SRB-0009693-001,FOSL1,Pw99,Low (2-10)
SRB-0009698-001,CD74,Pw94,Low (2-10)
SRB-0010063,FOSL1,Pw115,Low (2-10)
SRB-0010374,PEG10,Pw112,Low (2-10)
SRB-0010439,CIT,Pw106,Low (2-10)
SRB-0010445,TGFB1,Pw115,Low (2-10)
SRB-0010501,RBP4,Pw108,Low (2-10)
SRB-0010516,FOSL1,Pw113,Low (2-10)
SRB-0010522,FOSL1,Pw108,Low (2-10)
SRB-0010767,ARG1,Pw109,Low (2-10)
